x,y,z
189.72,  4.17, 2.88
198.48,-00.56, 6.00
241.63,-20.78, 5.53
165.35, 16.17, 4.91
256.80,-25.01, 6.60
158.63, 19.00, 5.64
206.36,-04.52, 6.40
156.53, 19.78, 5.21
226.06,-14.27, 1.98
213.93,-08.37, 6.67
241.03,-20.24, 3.85
183.50,  7.85, 6.71
205.68,-04.03, 4.44
205.67,-04.03, 6.72
201.90,-01.97, 6.26
218.67,-10.63, 6.19
195.66,  1.56, 6.33
223.47,-12.83, 6.24
189.28,  5.07, 6.06
220.25,-11.22, 5.22
227.89,-14.78, 6.60
239.47,-19.45, 6.34
196.91,  1.06, 6.24
221.58,-11.80, 6.12
203.63,-02.55, 5.98
233.44,-17.04, 5.63
208.60,-05.12, 6.66
210.78,-06.25, 5.87
167.36, 15.89, 6.56
207.97,-04.66, 6.51
244.46,-20.96, 5.62
213.48,-07.48, 6.35
236.62,-18.07, 6.39
181.17,  9.64, 6.43
265.18,-26.16, 5.61
217.13,-09.23, 6.40
260.64,-25.23, 5.98
248.16,-21.95, 6.31
211.45,-06.20, 5.87
214.21,-07.62, 6.15
261.21,-25.29,-0.72
209.38,-05.05, 6.71
216.86,-08.89, 6.27
242.91,-20.13, 6.25
192.06,  4.26, 6.22
156.97, 20.19, 5.88
183.15,  8.92, 5.55
207.59,-04.02, 5.55
209.90,-05.25, 5.20
210.41,-05.50, 5.55
267.59,-26.42, 6.48
273.28,-27.23, 6.27
168.20, 15.95, 5.90
186.37,  7.41, 6.47
195.90,  2.41, 6.23
261.36,-25.19, 6.51
201.14,-00.38, 6.15
192.42,  4.35, 4.15
214.52,-07.39, 5.06
269.52,-26.63, 5.80
134.52, 26.15, 6.54
208.58,-04.27, 6.48
256.45,-23.97, 5.76
234.00,-16.46, 6.07
131.75, 26.61, 6.65
200.58,  0.10, 6.59
280.35,-27.82, 5.56
245.88,-20.76, 6.48
273.01,-27.04, 6.46
208.04,-03.72, 6.16
216.66,-08.21, 4.60
216.66,-08.21, 5.40
216.66,-08.21, 5.60
226.20,-12.78, 5.77
273.47,-27.04, 6.27
240.64,-18.76, 4.48
202.47,-00.58, 6.57
136.29, 25.92, 5.73
240.47,-18.59, 5.74
140.95, 25.02, 6.24
195.57,  3.31, 6.20
219.58,-09.26, 5.93
249.22,-21.47, 6.32
267.08,-25.90, 5.82
200.62,  0.68, 6.14
196.55,  2.93, 6.40
181.72, 10.52, 5.87
222.42,-10.51, 6.16
200.20,  1.04, 6.65
200.44,  0.95, 5.23
159.97, 19.75, 6.45
280.04,-27.55, 5.38
200.39,  1.14, 6.03
221.81,-10.01, 5.15
236.17,-16.46, 5.93
218.02,-08.05, 5.43
206.43,-02.02, 5.84
181.32, 11.00, 6.42
258.81,-23.84, 5.27
204.30,-00.75, 4.50
216.01,-06.90, 5.60
232.11,-14.53, 4.33
243.53,-19.10, 5.84
265.89,-25.36, 5.22
249.20,-21.01, 6.20
198.32,  2.55, 5.53
220.85,-09.17, 6.24
245.23,-19.61, 6.34
153.87, 22.04, 5.94
211.99,-04.52, 5.10
143.09, 24.82, 5.92
240.46,-17.68, 5.69
186.04,  9.13, 5.27
246.04,-19.72, 5.24
260.56,-24.00, 5.60
134.59, 26.41, 5.45
158.61, 20.64, 5.85
229.92,-13.18, 6.40
204.30,-00.23, 6.45
176.52, 13.78, 5.29
202.21,  1.00, 5.88
247.03,-19.88, 6.44
275.48,-26.71, 6.29
210.29,-03.19, 5.80
271.43,-26.05, 6.15
244.69,-18.94, 5.42
268.03,-25.40, 5.70
207.17,-01.37, 6.55
231.99,-13.68, 4.54
241.29,-17.54, 5.62
261.18,-23.80, 6.19
189.38,  8.07, 6.44
215.89,-05.67, 5.52
175.79, 14.54, 5.69
175.32, 14.77, 5.20
196.77,  4.45, 1.93
205.87,-00.31, 6.06
228.11,-11.61, 5.70
245.35,-18.84, 5.59
185.47, 10.17, 5.79
201.71,  1.90, 6.38
172.89, 15.86, 4.79
223.24,-09.23, 5.97
228.69,-11.80, 3.95
208.95,-01.82, 6.17
244.70,-18.50, 6.35
206.98,-00.75, 6.15
231.82,-13.19, 6.35
171.46, 16.55, 6.41
261.93,-23.73, 4.39
191.86,  7.27, 6.04
223.03,-08.89, 6.12
186.24, 10.10, 6.03
189.58,  8.50, 6.38
213.71,-04.07, 6.14
207.31,-00.65, 6.57
210.03,-02.11, 6.21
227.87,-11.11, 4.43
246.82,-19.00, 6.04
250.22,-20.17, 6.34
245.69,-18.57, 5.71
241.18,-16.78, 5.27
226.69,-10.37, 6.03
200.05,  3.35, 5.97
224.26,-09.04, 4.82
251.94,-20.54, 3.17
179.30, 13.69, 6.46
186.47, 10.42, 6.42
206.02,  0.49, 6.51
233.11,-13.02, 6.05
202.94,  2.20, 4.66
197.17,  5.23, 6.28
201.98,  2.77, 6.11
171.18, 17.26, 5.02
239.54,-15.69, 5.71
211.31,-02.08, 5.79
257.12,-21.91, 4.93
162.53, 20.41, 6.27
178.29, 14.47, 6.19
247.04,-18.47, 6.58
196.16,  6.02, 5.21
206.21,  0.80, 6.37
271.21,-25.19, 6.18
220.05,-06.26, 5.19
156.31, 22.48, 4.87
179.35, 14.24, 6.31
189.54,  9.63, 2.98
209.28,-00.47, 6.19
249.30,-18.99, 6.12
256.68,-21.40, 6.65
158.69, 21.93, 5.35
200.30,  4.37, 4.49
208.54,  0.06, 5.90
186.08, 11.43, 5.44
232.26,-11.84, 6.13
247.45,-18.13, 6.29
172.36, 17.52, 5.25
200.74,  4.50, 3.36
160.26, 21.69, 6.33
160.26, 21.69, 6.28
167.26, 19.47, 5.22
248.31,-18.20, 6.30
200.99,  4.54, 6.46
147.80, 24.88, 5.14
227.22,-08.88,-1.46
240.53,-14.98, 5.20
237.03,-13.42, 6.45
204.73,  2.82, 5.93
233.46,-11.72, 6.05
240.11,-14.68, 6.54
225.57,-07.87, 5.32
196.20,  7.32, 6.20
241.29,-15.08, 5.92
240.50,-14.73, 5.80
221.42,-05.64, 5.66
205.31,  2.75, 4.77
225.33,-07.52, 5.29
282.50,-26.48, 6.51
210.38,  0.30, 4.47
248.84,-17.84, 6.62
220.53,-04.93, 5.07
231.36,-10.34, 6.08
247.13,-17.18, 6.21
146.42, 25.38, 5.12
183.13, 13.89, 5.71
261.57,-22.00, 6.57
213.75,-01.29, 5.75
261.81,-21.99, 5.80
174.39, 17.57, 5.02
211.77,-00.07, 6.15
247.37,-17.02, 5.26
198.26,  6.96, 5.85
156.54, 23.32, 5.33
214.71,-01.52, 5.74
226.21,-07.38, 5.39
260.67,-21.52, 5.40
264.22,-22.50, 6.46
200.84,  5.85, 5.65
265.13,-22.65, 5.61
137.55, 26.86, 4.55
234.45,-11.07, 6.33
193.38,  9.76, 5.27
213.34,-00.38, 5.77
284.02,-26.43, 6.37
171.53, 19.04, 6.26
191.74, 10.64, 5.65
220.02,-03.82, 6.29
228.12,-07.93, 5.79
281.07,-25.98, 6.11
237.51,-12.36, 7.04
242.36,-14.49, 3.96
177.40, 16.91, 6.12
182.10, 15.02, 3.60
177.83, 16.79, 6.30
180.38, 15.77, 6.01
210.25,  1.44, 6.38
236.11,-11.61, 6.33
241.64,-14.07, 5.70
254.96,-19.21, 6.55
177.82, 16.95, 6.48
256.12,-19.60, 5.14
244.21,-15.02, 4.99
271.92,-24.10, 3.27
205.62,  4.12, 5.77
217.77,-02.21, 6.30
260.16,-20.86, 2.93
263.24,-21.76, 4.40
203.33,  5.42, 6.24
170.67, 19.72, 6.34
172.59, 19.08, 6.13
246.06,-15.58, 5.96
292.60,-27.21, 5.64
157.77, 23.60, 4.35
158.68, 23.38, 6.05
270.18,-23.49, 6.11
257.90,-19.89, 6.42
201.51,  6.67, 4.65
230.20,-08.15, 5.64
230.11,-08.10, 6.14
237.43,-11.61, 6.40
170.30, 20.07, 5.87
190.42, 12.06, 5.73
218.45,-02.07, 6.41
231.30,-08.62, 4.83
214.27,  0.15, 5.45
169.89, 20.28, 5.86
223.98,-04.85, 4.07
252.22,-17.73, 6.52
238.95,-12.16, 6.04
214.87,-00.08, 6.21
235.29,-10.40, 6.21
253.67,-18.23, 6.46
234.98,-10.21, 3.87
144.42, 26.31, 5.68
215.83,-00.49, 6.04
234.76,-10.08, 6.91
205.98,  4.70, 6.29
171.55, 19.87, 4.90
182.72, 15.72, 5.89
263.86,-21.48, 6.57
231.62,-08.39, 5.74
204.61,  5.62, 5.92
231.44,-08.15, 4.68
252.21,-17.38, 6.32
269.31,-22.93, 6.41
225.99,-05.34, 5.00
260.38,-20.24, 6.26
234.01,-09.33, 5.30
228.70,-06.68, 4.37
202.96,  6.71, 6.27
242.21,-13.03, 6.36
220.85,-02.49, 6.34
178.64, 17.72, 6.00
190.09, 13.07, 6.10
281.74,-25.53, 5.40
233.48,-08.71, 6.61
245.63,-14.29, 6.29
190.31, 13.14, 6.40
206.95,  5.06, 6.27
235.73,-09.70, 5.46
258.60,-19.29, 4.95
126.22, 27.72, 5.07
210.58,  3.31, 5.97
238.42,-10.91, 6.23
245.83,-14.26, 6.23
207.30,  5.08, 6.35
238.12,-10.67, 6.37
199.48,  9.16, 5.68
236.55,-09.82, 5.59
144.56, 26.67, 6.50
239.83,-11.33, 1.50
244.61,-13.49, 5.06
184.30, 16.06, 6.59
241.72,-12.16, 6.42
218.72,-00.48, 6.30
233.19,-07.94, 6.26
221.43,-01.85, 5.96
231.93,-07.21, 6.31
255.83,-17.88, 6.22
222.17,-02.15, 6.49
233.72,-08.03, 6.53
209.80,  4.47, 6.63
192.18, 13.06, 5.18
198.17, 10.35, 5.94
200.37,  9.28, 5.74
209.17,  4.86, 6.59
265.81,-21.16, 6.27
199.18,  9.91, 5.82
215.32,  1.71, 6.17
239.58,-10.71, 6.27
266.49,-21.37, 6.45
219.22,-00.28, 5.20
236.62,-09.23, 5.63
244.21,-12.77, 6.40
156.56, 25.00, 6.44
187.43, 15.32, 5.93
164.07, 23.36, 6.12
169.25, 21.93, 6.38
239.17,-10.27, 3.47
206.10,  6.77, 5.97
218.01,  0.61, 4.99
204.50,  7.65, 5.13
195.75, 11.90, 3.79
203.04,  8.42, 5.98
261.54,-19.48, 5.14
235.55,-08.23, 3.02
213.08,  3.55, 6.57
219.11,  0.38, 5.62
223.36,-01.85, 6.45
228.25,-04.41, 4.12
253.77,-16.43, 6.43
193.94, 13.01, 6.02
182.69, 17.78, 5.55
269.21,-21.79, 6.02
278.61,-24.22, 5.17
206.32,  7.31, 5.78
234.11,-07.07, 6.09
183.24, 17.84, 5.91
252.87,-15.72, 5.20
254.09,-16.22, 5.54
254.09,-16.22, 6.79
188.89, 15.66, 6.48
224.05,-01.69, 6.49
194.08, 13.47, 7.68
259.91,-18.41, 4.93
183.48, 17.94, 6.28
269.54,-21.60, 5.50
179.94, 19.28, 6.16
210.33,  5.72, 6.11
245.85,-12.42, 6.14
224.71,-01.79, 5.39
225.68,-02.32, 6.48
242.08,-10.59, 6.34
143.41, 27.42, 6.35
208.11,  7.03, 5.75
267.11,-20.73, 5.17
200.47, 10.86, 5.44
249.27,-13.81, 6.11
236.97,-07.94, 6.08
260.76,-18.47, 6.46
238.52,-08.66, 6.62
291.11,-26.40, 5.45
236.01,-07.34, 5.71
251.72,-14.63, 5.79
195.71, 13.46, 6.43
238.42,-08.27, 1.84
224.17,-00.78, 6.21
236.34,-07.13, 6.65
178.27, 20.46, 4.90
187.22, 17.20, 4.41
262.46,-18.75, 5.96
229.42,-03.44, 6.03
190.51, 15.96, 5.78
218.85,  2.23, 4.92
250.69,-13.83, 4.83
165.80, 24.18, 5.47
237.50,-07.48, 5.69
231.68,-04.43, 6.23
193.21, 15.11, 5.85
215.48,  4.30, 5.45
239.61,-08.37, 5.46
132.74, 28.08, 6.31
210.20,  7.11, 6.09
190.28, 16.40, 6.43
279.73,-23.86, 6.47
210.39,  7.09, 6.16
215.70,  4.32, 4.15
156.99, 26.20, 5.20
233.80,-05.11, 5.84
200.78, 12.04, 5.00
238.40,-07.30, 5.92
259.70,-17.13, 5.14
242.80,-09.49, 6.10
170.34, 23.52, 5.58
192.84, 15.76, 6.89
225.40,-00.37, 5.78
239.80,-07.95, 6.59
192.70, 15.88, 5.82
248.09,-11.89, 5.96
251.76,-13.57, 5.31
204.63, 10.56, 5.62
212.76,  6.51, 5.35
235.58,-05.58, 6.01
219.01,  3.27, 5.75
224.38,  0.48, 5.90
235.84,-05.60, 6.36
239.81,-07.65, 6.12
281.55,-24.05, 5.69
281.56,-24.04, 3.78
165.21, 24.97, 5.92
189.91, 17.30, 5.71
224.73,  0.35, 6.03
257.72,-16.02, 4.49
243.20,-09.28, 6.60
131.42, 28.18, 4.96
242.54,-08.92, 6.33
215.81,  5.24, 6.41
238.97,-07.07, 4.66
256.26,-15.30, 4.89
208.53,  8.99, 5.82
255.77,-15.04, 5.10
239.41,-07.15, 3.85
239.65,-07.26, 5.58
168.11, 24.51, 5.05
225.11,  0.50, 5.95
177.08, 22.11, 5.78
274.00,-21.77, 6.02
236.79,-05.58, 6.32
242.99,-08.80, 5.36
187.09, 18.85, 6.24
229.59,-01.71, 5.46
252.84,-13.49, 5.94
209.88,  8.78, 6.65
257.96,-15.71, 5.72
259.31,-16.29, 4.76
200.92, 13.23, 3.58
236.50,-05.21, 4.79
221.86,  2.72, 6.29
240.58,-07.30, 4.64
263.45,-17.78, 5.97
243.34,-08.59, 6.32
250.08,-11.91, 5.80
248.52,-11.12, 5.03
257.99,-15.45, 5.66
156.84, 27.03, 6.35
249.01,-11.28, 2.70
239.73,-06.57, 6.46
175.42, 23.16, 6.35
172.73, 23.90, 5.77
195.98, 15.89, 3.53
213.67,  7.46, 5.89
209.74,  9.54, 5.91
202.43, 13.08, 6.45
237.82,-05.37, 4.98
238.18,-05.54, 4.40
161.96, 26.36, 6.53
161.96, 26.37, 5.45
233.17,-02.85, 6.09
239.65,-06.26, 5.28
248.78,-10.91, 4.66
230.67,-01.41, 5.70
255.49,-14.03, 5.85
248.82,-10.86, 5.11
251.08,-11.94, 5.25
179.29, 22.31, 6.40
181.57, 21.58, 5.13
246.12,-09.42, 6.30
197.63, 15.66, 5.10
229.04,-00.13, 5.45
133.11, 28.47, 6.41
224.24,  2.51, 6.55
236.54,-04.13, 6.61
240.20,-06.03, 6.01
216.28,  6.89, 5.99
239.26,-05.50, 5.87
279.09,-22.69, 3.98
165.74, 26.03, 5.80
177.67, 23.15, 5.19
224.41,  2.63, 6.43
219.13,  5.49, 6.23
193.34, 17.78, 5.03
149.69, 28.26, 6.47
195.38, 16.97, 6.02
221.81,  4.12, 5.82
233.29,-02.06, 4.96
263.57,-17.00, 6.05
263.57,-17.00, 6.60
263.37,-16.87, 5.39
190.91, 18.97, 5.76
202.53, 14.19, 6.41
168.71, 25.75, 4.64
244.86,-07.90, 5.43
206.17, 12.67, 5.30
190.85, 19.27, 3.79
241.24,-05.92, 5.38
245.16,-07.93, 5.39
243.41,-06.94, 6.60
231.09,-00.21, 5.33
236.96,-03.46, 6.19
242.62,-06.49, 2.45
208.45, 11.78, 4.99
248.48,-09.49, 6.31
147.28, 28.69, 5.64
233.58,-01.51, 6.24
228.99,  1.05, 5.78
222.02,  4.97, 5.97
244.92,-07.52, 5.35
197.05, 17.15, 6.54
207.31, 12.54, 6.37
198.29, 16.66, 5.93
220.95,  5.59, 6.76
236.26,-02.81, 6.05
206.97, 12.76, 6.41
239.12,-04.32, 5.78
249.87,-10.00, 6.97
249.87,-10.00, 6.84
169.91, 25.87, 5.72
209.52, 11.68, 2.90
197.23, 17.30, 5.22
244.96,-07.30, 6.31
299.59,-27.15, 6.47
168.33, 26.35, 5.36
237.93,-03.36, 6.56
210.85, 11.28, 5.25
187.14, 21.34, 4.18
232.83,-00.49, 5.63
209.05, 12.18, 4.32
237.41,-03.00, 5.61
247.20,-08.22, 5.90
190.83, 20.13, 5.05
203.36, 14.97, 6.22
227.36,  2.67, 5.79
237.29,-02.74, 5.95
191.07, 20.15, 5.01
262.72,-15.63, 5.10
242.88,-05.67, 5.54
206.38, 13.88, 4.54
218.99,  7.54, 5.59
224.02,  4.91, 5.86
226.46,  3.58, 5.75
230.57,  1.36, 6.05
250.66,-09.59, 6.58
245.36,-06.76, 6.38
245.36,-06.76, 7.13
179.99, 24.08, 6.54
245.04,-06.54, 5.77
237.67,-02.39, 4.85
251.64,-09.93, 5.43
222.12,  6.32, 6.24
201.80, 16.44, 5.42
255.74,-11.91, 3.25
196.30, 18.95, 6.54
215.88,  9.92, 5.25
244.76,-06.00, 4.65
250.46,-08.97, 6.65
225.50,  4.87, 5.90
264.50,-15.79, 5.87
249.46,-08.29, 6.68
203.19, 16.32, 5.25
214.76, 10.79, 5.59
275.98,-20.45, 6.39
249.25,-08.12, 6.61
187.44, 22.48, 2.88
187.44, 22.48, 1.98
266.20,-16.43, 5.96
208.18, 14.21, 6.28
161.77, 28.38, 5.92
249.38,-08.04, 6.3 
188.43, 22.29, 5.33
230.45,  2.52, 6.21
175.80, 25.89, 6.30
234.89,  0.06, 5.66
239.51,-02.54, 5.85
214.81, 11.06, 5.81
230.67,  2.52, 4.97
172.41, 26.71, 5.65
215.46, 10.88, 6.55
192.60, 21.06, 4.06
237.50,-01.19, 4.45
253.13,-09.78, 6.26
255.87,-11.16, 6.52
238.56,-01.71, 5.83
238.56,-01.71, 5.87
249.85,-07.95, 5.54
240.89,-02.95, 6.65
247.33,-06.53, 6.11
169.61, 27.45, 5.92
179.10, 25.39, 6.38
241.69,-03.37, 5.77
253.06,-09.59, 6.76
212.81, 12.70, 5.91
291.02,-25.01, 5.53
225.50,  6.04, 6.27
230.91,  3.02, 5.70
242.96,-03.87, 4.64
237.61,-00.70, 6.34
184.45, 24.24, 5.56
263.71,-14.64, 6.28
195.34, 20.64, 6.27
221.89,  8.26, 5.13
235.53,  0.61, 5.74
160.34, 29.09, 6.06
184.97, 24.23, 4.90
195.56, 20.79, 6.17
231.05,  3.38, 6.53
239.15,-01.26, 6.37
264.77,-14.96, 4.94
181.06, 25.49, 5.73
187.71, 23.58, 6.17
248.98,-06.67, 4.53
202.01, 18.35, 5.05
170.43, 27.88, 5.56
261.40,-13.19, 5.72
267.95,-16.32, 6.39
249.29,-06.75, 6.60
213.69, 13.03, 0.38
240.65,-01.84, 4.70
251.71,-08.05, 6.38
158.51, 29.53, 4.99
234.92,  1.61, 6.72
241.96,-02.44, 4.50
241.97,-02.44, 4.62
213.79, 13.20, 6.02
196.92, 20.73, 5.89
253.54,-08.88, 6.59
205.89, 17.05, 6.24
250.46,-07.16, 5.80
252.47,-08.28, 6.19
242.09,-02.35, 6.50
261.31,-12.86, 5.68
225.90,  7.04, 6.01
232.09,  3.55, 4.94
235.90,  1.36, 5.93
252.14,-07.90, 4.84
185.83, 24.76, 6.02
252.01,-07.77, 5.73
252.13,-07.82, 5.76
206.28, 17.17, 5.77
215.43, 12.81, 5.94
205.61, 17.51, 5.56
251.54,-07.46, 6.00
167.94, 28.72, 5.27
227.19,  6.52, 3.93
265.68,-14.82, 6.06
243.17,-02.63, 6.76
191.19, 23.27, 4.28
246.43,-04.43, 6.56
150.76, 30.20, 5.92
238.36,  0.27, 6.18
153.79, 30.15, 6.49
197.75, 21.02, 6.21
286.11,-23.14, 7.16
286.11,-23.14, 7.26
252.51,-07.69, 5.42
218.73, 11.56, 6.19
194.42, 22.39, 5.31
257.96,-10.57, 6.41
195.85, 21.97, 3.57
252.57,-07.57, 6.54
207.12, 17.43, 6.43
242.01,-01.44, 5.64
216.84, 12.81, 6.47
192.23, 23.41, 1.14
199.99, 20.62, 6.33
241.37,-00.85, 6.55
243.88,-02.32, 4.59
250.51,-06.15, 5.60
252.98,-07.54, 6.89
244.38,-02.54, 3.96
133.68, 29.44, 6.56
258.57,-10.57, 5.06
182.32, 26.50, 5.18
289.62,-24.11, 6.18
252.45,-07.11, 6.40
254.86,-08.44, 5.17
201.86, 20.14, 4.88
240.75,-00.26, 5.62
262.95,-12.79, 6.57
270.91,-16.72, 6.43
250.62,-05.99, 5.80
209.33, 17.00, 5.30
232.19,  4.91, 6.89
232.20,  4.91, 6.07
252.31,-06.84, 5.88
270.57,-16.46, 6.21
186.76, 25.53, 5.14
225.31,  8.90, 5.49
232.14,  5.07, 5.04
252.31,-06.73, 6.54
252.39,-06.74, 3.61
249.13,-04.81, 5.37
230.59,  6.17, 6.39
257.51,-09.53, 6.03
197.48, 22.40, 6.18
252.45,-06.56, 5.88
239.19,  1.34, 5.90
284.57,-22.16, 3.95
254.36,-07.54, 6.57
233.59,  4.71, 6.34
233.62,  4.72, 6.43
163.89, 30.25, 6.02
230.32,  6.66, 5.48
207.14, 18.71, 6.04
269.32,-15.48, 6.12
253.77,-07.09, 6.31
215.64, 14.77, 6.53
242.25,-00.21, 4.50
253.08,-06.63, 5.08
278.18,-19.49, 6.38
260.25,-10.56, 5.23
281.85,-20.97, 6.18
162.66, 30.56, 6.38
187.19, 26.19, 6.03
255.03,-07.57, 6.14
231.52,  6.41, 6.23
241.47,  0.49, 5.33
234.91,  4.51, 5.18
241.46,  0.57, 3.34
260.73,-10.66, 4.71
227.95,  8.62, 5.61
237.49,  3.02, 6.56
250.42,-04.69, 5.93
216.83, 14.69, 6.18
236.95,  3.44, 6.12
248.76,-03.64, 5.60
201.62, 21.72, 5.99
229.75,  7.82, 6.16
260.18,-10.19, 4.11
269.26,-15.03, 6.33
258.76,-09.36, 6.32
260.61,-10.42, 5.84
218.32, 14.20, 5.14
241.37,  1.08, 6.45
216.98, 14.99, 6.31
269.26,-14.91, 5.59
231.32,  7.14, 6.36
232.27,  6.62, 5.17
171.70, 29.95, 6.25
171.50, 30.02, 5.45
194.19, 24.70, 4.97
238.56,  2.93, 5.63
258.72,-09.09, 6.45
272.87,-16.62, 5.78
263.97,-12.00, 5.91
224.94, 11.03, 5.76
233.16,  6.26, 5.69
257.47,-08.26, 6.32
140.86, 30.73, 5.41
272.69,-16.44, 6.72
161.19, 31.18, 6.72
257.32,-08.10, 6.04
250.27,-03.88, 5.01
255.35,-06.86, 3.73
278.52,-19.08, 5.79
134.47, 29.96, 5.42
185.13, 27.70, 6.23
253.90,-05.93, 4.49
251.78,-04.59, 5.43
201.42, 22.74, 5.35
212.16, 18.24, 5.86
267.62,-13.54, 5.70
263.38,-11.19, 4.63
262.06,-10.42, 4.24
251.48,-04.14, 5.49
250.64,-03.53, 6.15
216.37, 16.49, 6.17
175.71, 30.05, 6.34
205.62, 21.45, 5.78
247.33,-01.40, 6.44
212.57, 18.53, 6.05
219.58, 15.14, 6.35
246.92,-00.86, 6.33
266.19,-12.36, 6.38
258.53,-07.93, 6.02
240.64,  3.07, 4.20
214.02, 18.09, 6.41
205.06, 22.08, 5.99
270.45,-14.61, 5.63
158.24, 31.91, 5.77
255.89,-06.26, 6.78
129.27, 29.15, 6.49
156.73, 31.95, 6.01
218.70, 15.88, 5.29
257.39,-07.02, 6.09
153.47, 31.97, 6.40
247.10,-00.65, 4.79
258.34,-07.57, 5.35
208.40, 20.99, 6.02
258.90,-07.83, 5.09
266.68,-12.32, 3.47
262.21,-09.73, 6.22
160.33, 32.05, 6.49
273.50,-15.94, 5.74
260.23,-08.49, 5.17
224.24, 13.39, 4.93
241.28,  3.29, 5.11
196.23, 25.82, 5.83
201.98, 23.84, 6.25
272.25,-15.24, 6.25
198.13, 25.23, 6.34
204.50, 22.88, 5.55
263.48,-10.28, 4.41
185.50, 28.93, 6.34
237.16,  6.00, 4.61
196.62, 25.89, 6.31
265.43,-11.36, 6.44
205.43, 22.71, 5.99
223.64, 13.99, 6.51
216.58, 17.74, 5.65
260.02,-08.13, 5.99
273.38,-15.69, 5.60
276.13,-17.11, 6.14
254.96,-05.01, 5.24
222.35, 14.81, 4.68
264.20,-10.51, 6.32
264.20,-10.51, 6.34
212.83, 19.67, 6.22
219.07, 16.80, 4.39
260.35,-08.06, 6.61
273.93,-15.80, 5.81
263.41,-09.86, 6.02
193.90, 27.14, 4.94
226.95, 12.67, 6.33
263.34,-09.77, 6.12
273.41,-15.43, 6.33
273.76,-15.61, 5.17
253.46,-03.60, 5.95
253.31,-03.39, 6.34
268.02,-12.37, 5.87
268.39,-12.48, 6.10
203.35, 24.34, 6.15
276.55,-16.92, 4.82
249.52,-00.79, 5.82
269.24,-12.92, 6.28
257.01,-05.53, 5.52
209.11, 22.16, 5.12
194.34, 27.50, 6.21
255.98,-04.71, 2.25
258.48,-06.27, 6.29
176.84, 31.52, 6.26
238.90,  6.28, 6.13
199.58, 26.05, 5.99
249.83,-00.69, 5.31
285.73,-21.21, 6.34
222.18, 16.22, 6.41
167.19, 32.65, 4.84
230.04, 12.07, 6.23
159.17, 33.04, 5.93
200.81, 25.99, 5.30
250.76,-00.91, 6.14
265.19,-10.06, 5.95
262.12,-08.10, 6.19
267.42,-11.30, 5.53
177.88, 31.79, 6.27
147.01, 32.53, 5.32
239.93,  6.36, 5.38
208.98, 23.18, 6.27
243.15,  4.40, 2.81
276.11,-16.14, 6.30
260.77,-07.01, 5.05
224.72, 15.66, 4.34
232.20, 11.53, 6.32
239.95,  6.74, 6.36
196.89, 27.90, 5.73
239.04,  7.40, 4.40
182.23, 31.50, 6.58
236.53,  9.08, 5.68
254.54,-02.63, 6.37
248.41,  1.44, 6.65
130.95, 29.89, 6.32
208.24, 24.08, 6.23
252.72,-01.34, 6.20
161.31, 33.58, 5.85
213.03, 22.16, 6.07
234.57, 10.61, 5.54
263.92,-08.45, 5.70
260.07,-05.96, 5.21
258.84,-05.13, 6.26
262.81,-07.70, 4.27
262.80,-07.69, 1.78
205.30, 25.53, 5.63
205.30, 25.53, 6.02
205.30, 25.53, 6.20
233.89, 11.19, 4.72
229.40, 13.91, 5.36
263.33,-07.98, 5.23
209.01, 24.14, 6.54
192.58, 29.71, 5.64
138.47, 31.61, 5.54
277.20,-16.24, 6.28
270.38,-12.26, 5.66
254.47,-02.02, 6.44
274.97,-14.95, 4.76
156.59, 33.69, 6.45
206.54, 25.27, 6.01
281.62,-18.56, 4.35
199.70, 27.82, 6.56
256.45,-03.24, 4.45
259.29,-05.06, 4.75
263.91,-08.05, 5.82
205.47, 25.98, 6.47
236.63, 10.11, 4.99
248.50,  2.33, 6.52
210.19, 24.19, 6.38
262.44,-06.96, 5.76
255.20,-02.07, 6.43
262.17,-06.68, 6.03
157.54, 33.99, 5.64
142.29, 32.46, 5.98
253.58,-00.84, 4.78
251.66,  0.48, 6.37
250.52,  1.35, 6.06
253.98,-01.00, 5.08
254.00,-01.01, 6.11
253.32,-00.49, 5.78
257.35,-03.21, 4.44
262.88,-06.92, 5.13
154.00, 33.93, 5.71
164.09, 34.22, 6.27
265.60,-08.65, 5.51
211.75, 24.14, 7.13
214.25, 23.05, 3.52
261.98,-06.17, 5.83
249.71,  2.33, 6.21
214.68, 23.13, 6.29
253.86,-00.43, 6.16
159.73, 34.43, 5.89
241.80,  7.83, 6.60
265.98,-08.55, 6.44
237.58, 10.66, 6.16
164.78, 34.55, 6.49
234.55, 12.83, 5.98
276.80,-15.13, 5.16
249.20,  3.22, 6.45
195.78, 30.47, 5.14
156.20, 34.52, 6.41
202.85, 28.45, 5.83
232.52, 14.30, 6.32
253.75,  0.21, 5.58
255.33,-00.88, 6.70
199.33, 29.59, 5.98
219.71, 21.43, 6.05
254.78,-00.42, 4.45
224.31, 19.20, 6.18
228.35, 17.02, 6.13
253.18,  0.90, 6.43
273.67,-12.91, 6.42
177.39, 34.34, 4.25
243.61,  7.63, 6.13
165.21, 35.05, 5.51
225.10, 19.11, 6.50
241.33,  9.38, 5.58
279.39,-16.22, 5.07
239.29, 10.87, 5.75
252.13,  2.10, 4.83
254.95,  0.14, 5.20
205.70, 28.25, 5.95
229.41, 17.06, 6.15
257.54,-01.64, 6.16
